Tested for kernel size 5, stride 1
Time measurements (s): Matrix Size, CPU, GPU, Shared GPU, Shared GPU + 2x Unroll, Blocked GPU
20, 0.000003, 0.000049, 0.000031, 0.000030, 0.000030
52, 0.000035, 0.000040, 0.000038, 0.000038, 0.000038
84, 0.000087, 0.000067, 0.000055, 0.000057, 0.000056
116, 0.000172, 0.000097, 0.000075, 0.000075, 0.000075
148, 0.000285, 0.000135, 0.000105, 0.000105, 0.000104
180, 0.000425, 0.000197, 0.000149, 0.000149, 0.000149
212, 0.000597, 0.000258, 0.000195, 0.000195, 0.000195
244, 0.000796, 0.000335, 0.000253, 0.000253, 0.000253
276, 0.001018, 0.000418, 0.000314, 0.000311, 0.000310
308, 0.001271, 0.000525, 0.000394, 0.000395, 0.000391
340, 0.001566, 0.000614, 0.000459, 0.000465, 0.000456
372, 0.001859, 0.000723, 0.000534, 0.000541, 0.000528
404, 0.002189, 0.000778, 0.000558, 0.000567, 0.000552
436, 0.002564, 0.000898, 0.000636, 0.000638, 0.000627
468, 0.002949, 0.001001, 0.000722, 0.000722, 0.000702
500, 0.003374, 0.001137, 0.000809, 0.000805, 0.000794
532, 0.003838, 0.001246, 0.000873, 0.000867, 0.000853
564, 0.004305, 0.001172, 0.000929, 0.000925, 0.000904
596, 0.004674, 0.001526, 0.001066, 0.001060, 0.001030
628, 0.005340, 0.001471, 0.001131, 0.001128, 0.001103
660, 0.005942, 0.001571, 0.001195, 0.001197, 0.001164
692, 0.006342, 0.001855, 0.001410, 0.001390, 0.001369
724, 0.006992, 0.002019, 0.001546, 0.001544, 0.001508
756, 0.007629, 0.002127, 0.001585, 0.001577, 0.001538
788, 0.008286, 0.002140, 0.001719, 0.001689, 0.001663
820, 0.008861, 0.002552, 0.001887, 0.001876, 0.001823
852, 0.009617, 0.002747, 0.001984, 0.001977, 0.001937
884, 0.010383, 0.002798, 0.002136, 0.002115, 0.002070
916, 0.011150, 0.003026, 0.002300, 0.002281, 0.002227
948, 0.011781, 0.003350, 0.002597, 0.002565, 0.002519

