No error!
No error!
No error!
No error!
No error!
No error!
No error!
No error!
No error!
No error!
No error!
No error!
No error!
No error!
No error!
No error!
No error!
No error!
No error!
No error!
Time measurements (s): Matrix Size, GPU (w/ transfers, CPU
28, 0.000109, 0.000055
44, 0.000058, 0.000157
60, 0.000072, 0.000326
76, 0.000099, 0.000492
92, 0.000117, 0.000742
108, 0.000141, 0.001063
124, 0.000174, 0.001372
140, 0.000215, 0.001772
156, 0.000249, 0.002227
172, 0.000317, 0.002699
188, 0.000354, 0.003280
204, 0.000408, 0.003827
220, 0.000475, 0.004550
236, 0.000561, 0.005190
252, 0.000610, 0.005909
268, 0.000707, 0.006699
284, 0.000738, 0.007602
300, 0.000873, 0.008774
316, 0.000949, 0.009660
332, 0.001211, 0.009698

