No error!
No error!
No error!
No error!
No error!
No error!
No error!
No error!
No error!
No error!
No error!
No error!
No error!
No error!
No error!
No error!
No error!
No error!
No error!
No error!
Time measurements (s): Matrix Size, GPU (w/ transfers, CPU
28, 0.000114, 0.000047
44, 0.000065, 0.000127
60, 0.000078, 0.000240
76, 0.000109, 0.000417
92, 0.000136, 0.000629
108, 0.000162, 0.000873
124, 0.000197, 0.001190
140, 0.000226, 0.001487
156, 0.000257, 0.001858
172, 0.000307, 0.002272
188, 0.000362, 0.002727
204, 0.000409, 0.003218
220, 0.000460, 0.003756
236, 0.000520, 0.004320
252, 0.000591, 0.004893
268, 0.000696, 0.005546
284, 0.000737, 0.006260
300, 0.000842, 0.007031
316, 0.001006, 0.007829
332, 0.001093, 0.008710

